country	un_status	encryption_gpd	gpd_licensing	gpd_import_export	gpd_other	dla_code	dla_last_modified	transfer	transfer_note	life_exception_in_dla	storage_rule	storage_note	health_sensitive	health_note
Belarus	member	Some restrictions	No known legislation or policies.	Under Resolution of the Council of Ministers of the Republic of Belarus No. 218 of 18 March 1997, the import and export of cryptography is prohibited without a license from the Ministry of Foreign Affairs or the State Center for Information Security of the Security Council. A copy of the Resolution 	No known legislation or policies.	BY	13 February 2026	COND	prohibited unless listed adequate country; exceptions exist	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Belgium	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BE	13 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Belize	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Benin	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BJ	20 January 2025	COND	adequacy or contractual safeguards	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Bhutan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Bolivia (Plurinational State of)	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BO	4 February 2026	FREE	no specific requirements for transfers	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_STATED	DLA gives only a general definition
Bosnia and Herzegovina	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BA	13 February 2026	COND	adequacy confirmed by Council of Ministers, or safeguards	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Botswana	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BW	18 March 2026	AUTH	prohibited save to Minister-designated countries; Commissioner's prior authorisation	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Brazil	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BR	30 March 2026	COND	consent unless adequacy, SCCs or listed cases incl. protecting life or physical safety	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Brunei Darussalam	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BN	18 March 2026	FREE	not currently regulated; PDPO expected	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	no legal definition
Bulgaria	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BG	12 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Burkina Faso	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BF	20 January 2025	AUTH	CNIL authorisation required, plus contract clauses	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Burundi	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	BI	17 January 2024	FREE	no geographic restrictions; health code Art 16: patient decides whether medical information goes to third parties	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	not defined
Cabo Verde	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CV	16 January 2025	COND	adequacy, or consent or listed situations	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Cambodia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	KH	13 February 2026	FREE	no restrictions except banks	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	personal data itself not defined
Cameroon	member	Some restrictions	Section 7(2) of Law No. 2010/012 of 21 December 2010 Relating to Cybersecurity and Cybercriminality in Cameroon says that the National Agency for Information and Communication Technologies (ANTIC) shall be “responsible for the regulation, control and monitoring of activities related to the security 	Section 58 of Law No. 2010/013 of 21 December 2010 Regulating Electronic Communications in Cameroon provides, more specifically, that “the supply, export, import or use of cryptography means or services associated with the transmission of information” requires prior declarations, where its sole purp	Under section 88 of Law No. 2010/012 of 21 December 2010 Relating to Cybersecurity and Cybercriminality in Cameroon, “whoever, knowing about a secret decoding convention, a cryptographic means likely to have been used to prepare, facilitate or commit a crime or felony, refuses to hand over the said 	CM	19 March 2026	AUTH	prior authorisation of the Personal Data Protection Authority	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Canada	member	Minimal restrictions	No known legislation or policies.	Section 3 of the Export and Import Permits Act allows the government to establish an Export Control List, setting out restrictions on the export of certain articles. Items on the list must generally be authorised by an export permit before they can be exported from Canada, and include certain forms 	No known legislation or policies.	CA	26 January 2023	COND	accountability plus notice; Quebec requires a privacy assessment before transfer	no	NONE_FOUND	DLA mentions no storage-location rule in any section	PARTIAL	only Quebec defines sensitive information (biometric or medical)
Central African Republic	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Chad	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	TD	19 March 2026	COND	sufficient protection outside CEMAC/CEEAC; prior notice to ANSICE	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Chile	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CL	5 February 2026	COND	consent or other legal basis; Law 21,719 regulates international transfers	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
China (the People's Republic of)	member	Widespread restrictions	State Council Order No. 273 “Regulation of Commercial Encryption Codes” provides that manufacturers must obtain approval from the National Commission on Encryption Code Regulations/ State Cryptography Administration for the type and model (including key length) of their encryption products. A copy o	State Council Order No. 273 “Regulation of Commercial Encryption Codes” provides that the import and export of encryption products requires a license by the National Commission on Encryption Code Regulations/ State Cryptography Administration. A copy of the Order can be found here .	State Council Order No. 273 “Regulation of Commercial Encryption Codes” provides that organisations and individuals may not distribute encryption products produced abroad. People may only use encryption products approved by the National Commission on Encryption Code Regulations, and they may not use	CN	13 February 2026	AUTH	CAC security assessment, certification or filed SCCs, plus separate consent; exemption for protecting life, health or property in emergencies	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Colombia	member	Widespread restrictions	No known legislation or policies.	No known legislation or policies.	Article 103, paragraph 4 of Law No. 104 of 1997 prohibits subscribers, licensees and other persons authorised to use certain radiocommunications systems (including pagers and mobile phones) from sending messages which are encrypted or in an “unintelligible language”. It is not clear if this prohibit	CO	13 February 2026	COND	prohibited unless equivalent protection; express consent and other exceptions	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Comoros	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Congo	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CG	4 February 2026	COND	similar protection plus prior notice to the Commission	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Costa Rica	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CR	9 February 2026	COND	prior written consent	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	biomedical information
Côte D'Ivoire	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CI	6 January 2025	AUTH	ARTCI prior authorisation even for adequate countries	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Croatia	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	HR	10 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Cuba	member	Widespread restrictions	Article 19(5) of Resolution No. 128/2011 (Regulation for Private Data Networks) requires official approval in order to use any type of application or service supported by a private network that involves encryption of the information which is transmitted.	No known legislation or policies.	Article 19 of Resolution No. 179/08 (Regulation for Internet Access Service Providers) requires internet access service providers to guarantee that any software they use does not involve cryptographic systems or the transfer or encrypted files. A copy of the Resolution (in Spanish) can be found here	CU	16 February 2022	FREE	nothing established on transfer	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	no express definition
Cyprus	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CY	12 March 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Czechia	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CZ	16 January 2024	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Democratic People's Republic of Korea	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Democratic Republic of the Congo	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CD	4 February 2026	COND	cross-border allowed if destination offers equal or better protection; transmission needs explicit prior consent	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Denmark	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	DK	16 January 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Djibouti	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Dominica	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Dominican Republic	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	DO	28 January 2025	COND	data owner's express authorisation or contract necessity	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Ecuador	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	EC	10 February 2026	COND	adequacy or safeguards	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Egypt	member	Widespread restrictions	Article 64 of Law No. 10 of 2003 on Telecommunication Regulations prohibits telecommunication service operators, providers, their employees and users of such services from using any telecommunication service encryption equipment without written permission from the National Telecom Regulatory Authori	Although there is no provision referring to encryption specifically, Article 44 of Law No. 10 of 2003 on Telecommunication Regulations prohibits the import, manufacture or assembly of any telecommunication equipment without a licence from the National Telecom Regulatory Authority according to the st	No known legislation or policies.	EG	13 February 2026	AUTH	adequacy plus a licence or permit from the Personal Data Protection Centre; consent exception	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
El Salvador	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	Article 21 of the Special Law for the Interception of Telecommunications (Legislative Decree No. 285 of 18 February 2010) provides that if material recorded in the course of an interception could not be translated or interpreted, in full or in part, due to encryption, protection by passwords or anot	SV	28 January 2024	COND	not specifically regulated; written authorisation of the data owner generally required	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	physical and mental health
Equatorial Guinea	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	GQ	6 March 2025	AUTH	private holders may disclose personal data only by court order; not cross-border specific	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	processing health data without consent is a major infringement
Eritrea	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Estonia	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	EE	19 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Eswatini	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Ethiopia	member	Some restrictions	Article 3(1) of the Proclamation on Telecom Fraud Offences (Proclamation No. 761/2012) criminalises the manufacture, assembly or import of any telecommunications equipment without a permit, punishable by “rigorous imprisonment” for between 10 and 15 years and a fine of between ETB 100,000 and ETB 15	Article 3(1) of the Proclamation on Telecom Fraud Offences (Proclamation No. 761/2012) criminalises the manufacture, assembly or import of any telecommunications equipment without a permit, punishable by “rigorous imprisonment” for between 10 and 15 years and a fine of between ETB 100,000 and ETB 15	Article 3(1) of the Proclamation on Telecom Fraud Offences (Proclamation No. 761/2012) criminalises the manufacture, assembly or import of any telecommunications equipment without a permit, punishable by “rigorous imprisonment” for between 10 and 15 years and a fine of between ETB 100,000 and ETB 15	ET	23 March 2026	AUTH	adequate jurisdictions allowed; otherwise ECA authorisation plus consent	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Fiji	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	FJ	19 March 2026	FREE	no applicable laws	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	no law; constitutional privacy right only
Finland	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	FI	13 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
France	member	Some restrictions	Article 31 of Law No. 2004-575 of 21 June 2004 on confidence in the digital economy provide that a person wishing to supply cryptography services must make a declaration to the Prime Minister. These provisions also give the government the power to issue a decree setting out exceptions to this genera	Article 30(III) of Law No. 2004-575 of 21 June 2004 on confidence in the digital economy provides that a person wishing to supply or import or export cryptography products and services, where the the product or service is not exclusively for the purpose of authentication or to ensure integrity. must	No known legislation or policies.	FR	23 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH; French health-data hosting certification not examined	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Gabon	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	GA	6 January 2025	COND	prohibited unless adequate; adequacy list not yet published	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Gambia (Republic of The)	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Georgia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	GE	13 March 2026	COND	adequate safeguards or listed grounds	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Germany	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	DE	16 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Ghana	member	Some restrictions	Section 28 of the Electronic Transactions Act, 2008 prohibits the selling or provision of encryption or authentication services unless it is compliant with the Act. Section 30 provides that the National Information Technology Agency shall act as the “Certifying Agency” and its functions include issu	No known legislation or policies.	No known legislation or policies.	GH	18 March 2026	FREE	no transfer provisions in the Act; sale of personal data prohibited	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Greece	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	GR	16 January 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Grenada	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	Section 11(1) of the Electronic Crimes Act, 2013 creates a criminal offence of “misuse of encryption”, namely where a person, for the purpose of the commission of an offence or concealment of incriminating evidence, encrypts in any electronic system any incriminating communication or data contained 			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Guatemala	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	GT	21 December 2021	COND	not regulated; written consent required for information transfer	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Guinea	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	GN	20 December 2021	AUTH	prior authorisation from the data protection authority	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Guinea Bissau	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Guyana	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Haiti	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	HT	16 January 2025	FREE	no transfer restriction; data communicated to third parties must remain accessible and correctable	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	any data whose release would infringe rights
Honduras	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	HN	10 February 2025	COND	express written consent of the data subject, with exceptions	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Hungary	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	HU	13 March 2026	COND	GDPR Ch V	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Iceland	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	IS	16 January 2025	COND	GDPR via EEA; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
India	member	Widespread restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	IN	13 February 2026	COND	allowed to all countries except any the government blacklists; valid contract; first pass wrongly said LOCAL	no	SECTOR_OTHER	payments (RBI) and securities (SEBI) data only; DPDP Act has no general localisation	NOT_DEFINED	DPDP Act has no sensitive category
Indonesia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	ID	13 February 2026	COND	equal or higher protection, safeguards, or consent	no	SECTOR_OTHER	banks need FSA approval for data centres abroad	YES	confirmed by hand from the definition text
Iran (Islamic Republic of)	member	Widespread restrictions	No known legislation or policies.	No known legislation or policies.	Article 10 of the Law on Computer Crime Law provides for a criminal offence of “concealing data, changing passwords, or encrypting data that prevents access of authorised individuals to data, computer and telecommunication systems”. The offence is punishable by imprisonment of between 91 days and on	IR	23 May 2019	COND	express consent plus adequate security	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Iraq	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Ireland	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	IE	17 January 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Israel	member	Some restrictions	Section 2 of the Order Regarding the Engagement in Encryption Items – 1974 (5734) prohibits organisations and individuals from engaging in encryption-related items unless they have a licence to do so from the Director-General at the Ministry of Defence. Section 3(d) of the Order does, however, grant	Section 2 of the Order Regarding the Engagement in Encryption Items – 1974 (5734) prohibits organisations and individuals from engaging in encryption-related items unless they have a licence to do so from the Director-General at the Ministry of Defence. The definition of “engagement” includes import	No known legislation or policies.	IL	25 December 2024	COND	equivalent protection or listed conditions incl. consent	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Italy	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	IT	16 January 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Jamaica	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Japan	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	JP	12 February 2026	COND	prior consent, opt-out, joint use or entrustment	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	medical history
Jordan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	JO	8 February 2026	COND	consent and conditions; Art 15 bars transfer to lower-protection destinations unless exceptions; first pass wrongly said LOCAL	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Kazakhstan	member	Widespread restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	KZ	13 February 2026	COND	protection or consent; law may prohibit in cases; storage localisation checked separately	no	GENERAL	personal data should be stored in databases located in Kazakhstan	NOT_DEFINED	no definition; medical secrecy under sector law
Kenya	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	KE	23 March 2026	COND	proof of safeguards to the DPC; sensitive-data transfer needs consent; vital-interests necessity; civil registry needs DPC approval	yes	HEALTH	"NOT in DLA. Kenya Law, Data Protection (General) Regulations LN 263/2021, reg 26(2)(f), read verbatim 2026-09-21: processing for ""provision of primary or secondary health care for a data subject in the country"" must use a server and data centre in Kenya, or store at least one serving copy in a data centre in Kenya"	YES	confirmed by hand from the definition text
Kiribati	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Kuwait	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	KW	4 February 2025	COND	disclose destination countries; no transfer without consent under E-Commerce Law	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	health status is personal data; no sensitive category
